775
qstr_Next_Page Next_Page
qstr_{s9}_asked_you_to_as {s9}_asked_you_to_assassinate_a_local_merchant_at_{s3}.
qstr_{s9}_has_asked_you_t {s9}_has_asked_you_to_meet_with_a_spy_in_{s13}.
qstr_{s9}_asked_you_to_ca {s9}_asked_you_to_capture_and_loot_{reg13}_caravans_so_as_to_provoke_a_war_with_{s13}.
qstr_{s9}_asked_you_to_cat {s9}_asked_you_to_catch_the_three_groups_of_runaway_serfs_and_bring_them_back_to_{s4},_alive_and_breathing._He_said_that_all_three_groups_are_heading_towards_{s3}.
qstr_{s11}_asked_you_to_f {s11}_asked_you_to_follow_the_spy_that_will_leave_{s12}._Be_careful_not_to_let_the_spy_see_you_on_the_way,_or_he_may_get_suspicious_and_turn_back._Once_the_spy_meets_with_his_accomplice,_you_are_to_capture_them_and_bring_them_back_to_{s11}.
qstr_{s11}_asked_you_to_c {s11}_asked_you_to_capture_a_lord_from_{s13},_any_lord,_and_then_drag_your_victim_back_to_{s11}_for_safekeeping.
qstr_{s9}_asked_you_to_le {s9}_asked_you_to_lend_your_companion_{s3}_to_him_for_a_week.
qstr_{s9}_asked_you_to_col {s9}_asked_you_to_collect_the_debt_of_{reg4}_denars_{s3}_owes_to_him._{s3}_was_at_{s4}_when_you_were_given_this_quest.
qstr_{s11}_gave_you_a_fak {s11}_gave_you_a_fake_letter_to_fool_{s13}_into_banishing_his_vassal_{s16}._You_are_to_go_near_{s14},_give_the_letter_to_one_of_your_{s15}_and_send_him_into_the_town_as_a_messenger,_believing_his_orders_to_be_genuine.
qstr_{s9}_has_requested_y {s9}_has_requested_you_to_bring_him_{reg1}_{s3}_as_prisoners.
qstr_Lend_your_experience Lend_your_experienced_surgeon_{s3}_to_{s1}.
qstr_Then_take_it_with_my Then_take_it,_with_my_eternal_thanks._You_are_a_noble_{man/woman}._I_will_never_forget_that_you_helped_me_in_my_time_of_need.
qstr_Forgive_me_{playerna Forgive_me,_{playername},_but_I_must_insist_you_accept_it._The_money_means_little_to_me,_and_I_owe_you_so_much._Here,_take_it,_and_let_us_speak_no_more_of_this.
qstr_{playername}_what_a_ {playername},_what_a_dear_{man/woman}_you_are,_but_I_will_not_allow_you_to_refuse_this._I_owe_you_far_more_than_I_can_say,_and_I_am_sure_you_can_put_this_money_to_far_better_use_than_I.
qstr_{s11}_asked_you_to_r {s11}_asked_you_to_rescue_her_{s17},_{s13},_from_{s14}_by_switching_clothes_and_taking_his_place_in_prison.
qstr_{s11}_asked_you_to_d {s11}_asked_you_to_deliver_a_message_to_{s13},_who_is_imprisoned_at_{s14}.
qstr_You_agreed_to_challe You_agreed_to_challenge_{s13}_to_defend_{s11}'s_honour.
qstr_{s5}__Persuasion_str {s5}_(Persuasion_strength:_{reg5})
qstr_Persuasion_Attempt Persuasion_Attempt
qstr_A_villager_from_{s7} A_villager_from_{s7}_begged_you_to_save_their_village_from_the_bandits_that_took_refuge_there.
qstr_You_chose_well_{sir/ You_chose_well,_{sir/madam}._My_lads_know_how_to_keep_their_word_and_earn_their_pay.
qstr_Well_done_{sir/madam Well_done,_{sir/madam}._Keep_the_money_and_wine_coming_our_way,_and_there's_no_foe_in_Calradia_you_need_fear.
qstr_We_are_at_your_servi We_are_at_your_service,_{sir/madam}._Point_us_in_the_direction_of_those_who_need_hurting,_and_we'll_do_the_rest.
qstr_You_will_not_be_diss You_will_not_be_dissapointed_{sir/madam}._You_will_not_find_better_warriors_in_all_Calradia.
qstr_The_Guildmaster_of_{ The_Guildmaster_of_{s13}_has_asked_you_to_deal_with_looters_in_the_surrounding_countryside.
qstr_{s9}_of_{s3}_asked_y {s9}_of_{s3}_asked_you_to_deliver_{reg5}_units_of_{s6}_to_the_tavern_in_{s4}_in_7_days.
qstr_Escort_the_merchant_ Escort_the_merchant_caravan_to_the_town_of_{s8}.
qstr_Merchant_{s9}_of_{s4 Merchant_{s9}_of_{s4}_asked_you_to_hunt_down_the_troublesome_bandits_in_the_vicinity_of_the_town.
qstr_Guildmaster_of_{s4}_ Guildmaster_of_{s4}_gave_you_{reg12}_denars_to_pay_the_ransom_of_a_girl_kidnapped_by_bandits._You_are_to_meet_the_bandits_near_{s3}_and_pay_them_the_ransom_fee._After_that_you_are_to_bring_the_girl_back_to_{s4}.
qstr_Guildmaster_of_{s4}_p Guildmaster_of_{s4}_promised_you_{reg12}_denars_if_you_can_make_sure_that_{s12}_and_{s13}_no_longer_pose_a_threat_to_a_peace_settlement_between_{s15}_and_{s14}._In_order_to_do_that,_you_must_either_convince_them_or_make_sure_they_fall_captive_and_remain_so_until_a_peace_agreement_is_made.
qstr_The_Guildmaster_of_{s The_Guildmaster_of_{s14}_has_asked_you_to_deal_with_a_group_of_bandits_terrorising_the_streets_of_{s14}._They_only_come_out_at_night,_and_only_attack_lone_travellers_on_the_streets.
qstr_Guildmaster_of_{s10} Guildmaster_of_{s10}_asked_you_to_move_a_cattle_herd_to_{s13}._You_will_earn_{reg8}_denars_in_return.
qstr_He_is_not_commanding He_is_not_commanding_any_men_at_the_moment.
qstr_He_currently_command He_currently_commands_{reg0}_men{reg1?,_of_which_around_{reg1}_are_wounded:}.
qstr_The_elder_of_the_vil The_elder_of_the_village_of_{s3}_asked_you_to_bring_them_{reg5}_packs_of_wheat.
qstr_The_elder_of_the_vill The_elder_of_the_village_of_{s13}_asked_you_to_train_{reg5}_peasants_to_fight_against_local_bandits.
qstr_The_elder_of_the_villa The_elder_of_the_village_of_{s3}_asked_you_to_bring_them_{reg5}_heads_of_cattle.
qstr_As_{s9}_said_it_woun As_{s9}_said_it_wount_be_a_good_idea_to_visit_{s10}.
qstr_OiM_The_elder_{s9}_a OiM_The_elder_{s9}_asked_you_to_deal_with_bandits
qstr_OiM_The_elder_{s9}_as OiM_The_elder_{s9}_asked_you_to_{s10}_to_lower_taxes
qstr_OiM_The_elder_{s9}_ask OiM_The_elder_{s9}_asked_you_to_bring_{s10}
qstr_OiM_The__De_la_Gardi OiM_The__De_la_Gardi_Said_to_ask_dwellers_in_the_{s10}._
qstr_OiM_getman_No_skazal OiM_getman_No_skazal_chto_Yavangelik_v_{s4}
qstr_OiM_The__{s9}_asked_ OiM_The__{s9}_asked_you_to_bring_{s10}_to_Sich
qstr_OiM_nu_vot_so_shmato OiM_nu_vot_so_shmatom_sala_budet_tishe_sebya_vesti
qstr_OiM_Kozaki_zametii_4 OiM_Kozaki_zametii_4to_vi_predeli_ih
qstr_OiM_The_{s9}_asked_y OiM_The_{s9}_asked_you_to_bring_him_to_{s10}
qstr_OiM_Kozaki_zametili_ OiM_Kozaki_zametili_4to_vi_predeli_ih
qstr_OiM_teper_mozhno_dal OiM_teper_mozhno_dalshe_v_put
qstr_OiM_Ischi_teper_yego OiM_Ischi_teper_yego_Gomona_to...
qstr_OiM_The_{s9}_need_to OiM_The_{s9}_need_to_bring_at_least_{reg0}_troops_to_{s10}
qstr_OiM_Ne_uspeli_s_cona OiM_Ne_uspeli_s_conay_slezt_kak_oni_priperlis'
qstr_OiM_Jaz_budet_jarko OiM_Jaz_budet_jarko
qstr_OiM_{s9}_asked_you_v OiM_{s9}_asked_you_visit_moscow_to_give_suppleis_to_donskie_kazaki
qstr_OiM_Potop_nuzhno_per OiM_Potop_nuzhno_peredat_ih_teper_{s6}
qstr_OiM_{s9}_asked_you_t OiM_{s9}_asked_you_to_bring_2_tureckih_mushketa_da_2_kozackih_shabli
qstr_OiM_{s9}_asked_you_to OiM_{s9}_asked_you_to_bring_to_king_Shveden_the_Monfor
qstr_OiM_{s9}_asked_you_to_ OiM_{s9}_asked_you_to_bring_at_least_10_soldiers_with_you_to_go_to_the_king
qstr_OiM_{s9}_asked_you_to_b OiM_{s9}_asked_you_to_burn_and_loot_{s10}
qstr_OiM_{s9}_skazal_chto OiM_{s9}_skazal_chto_pohlopochet_pered_gretnanom_za_to_chto_ti_sdelal
qstr_OiM_{s9}_asked_to_br OiM_{s9}_asked_to_bring_horse_to_{s10}
qstr_As_{s9}_said_to_get_ As_{s9}_said_to_get_money_from_{s10}.
qstr_As_{s9}_give_you_a_r As_{s9}_give_you_a_recomendation_to_{s10}.
qstr_OiM_{s9}_asked_to_lo OiM_{s9}_asked_to_loot_at_least_3_caravans
qstr_OIM_add_{s9}_asked_y OIM_add_{s9}_asked_you_to_find_Pan_Zagloba
qstr_OIM_add_{s9}_asked_yo OIM_add_{s9}_asked_you_to_deliver_letter_to_the_King
qstr_OIM_add_{s9}_deliver OIM_add_{s9}_deliver_swedish_prisoner_to_him
qstr_OIM_add_You_were_ask OIM_add_You_were_asked_to_protect_{s10}
qstr_OIM_add_Wam_nuzhno_o OIM_add_Wam_nuzhno_otbit_warshavu_nazad
qstr_OIM_add_{s9}_asked_you OIM_add_{s9}_asked_you_to_capture_any_swedish_lord
qstr_OIM_add_{s9}_asked_you_ OIM_add_{s9}_asked_you_to_help_{s10}_to_get_back_the_throne
qstr_OIM_add_{s9}_asked_you_t OIM_add_{s9}_asked_you_to_capture_2_cities_of_Moscow
qstr_OiM_Potop_Pora_pogov OiM_Potop_Pora_pogovorit_s_korolem
qstr_OIM_add_As_{s9}_said OIM_add_As_{s9}_said_he'll_let_get_back_onl_if_other...
qstr_OiM_Potop_{s3}_prosi OiM_Potop_{s3}_prosil_vzat_v_plen_{s4}_
qstr_OiM_Potop_Shveda_slo OiM_Potop_Shveda_slovit_tak_shveda....
qstr_OiM_Potop_Borzobagat OiM_Potop_Borzobagataya_v_{s5}
qstr_{s4}_{s2} {s4},_{s2}
qstr_{s5}_{s2} {s5},_{s2}
qstr_OIM_add_Nu_polkiy_se OIM_add_Nu_polkiy_seym_bil_sozvan.Skoro_budut_resultati...
qstr_OIM_add_Nu_vot_teper OIM_add_Nu_vot_teper_{s7}_hochet_chto_bi_vi_ustanovili_kontrol_nad_{s3},_{s4},_{s5},_{s6}...
qstr_OIM_add__{s2}_hochet OIM_add__{s2}_hochet_chto_bi_vzali_v_plen_{s3}
qstr_OIM_add__Teper_pora_ OIM_add__Teper_pora_sobrat_koaliciyu_protiv_korolya_i_smestit_ego_s_trona
qstr_OIM_add__Teper_kogda OIM_add__Teper_kogda_nachalos_vtorzhenie_-_pora_ostanovit_nayomnikov
qstr_{s4}. {s4}.
qstr_OiMP2_str_qst_potop_ OiMP2_str_qst_potop_general_line
qstr_OIM_add_getman__{s4} OIM_add_getman__{s4}_hochet_chto_bi_vi_zaschtili_{s3}
qstr_OIM_add_getman__star OIM_add_getman__starika_zal_no_mozhet_kto_chto_ischo_znayet_pro_getmana
qstr_OiM_add_Nu_teper_por OiM_add_Nu_teper_pora_pogovorit_s_Klermonom
qstr_OIM_add_getman__{s5} OIM_add_getman__{s5}_znayet_o_chornom_getmane
qstr_OIM_add__chtobi_uzna OIM_add__chtobi_uznat_bolshe_o_chornom_getmane_nuzhno_pomoch_{s3}_vernut_tron
qstr_OIM_add__{s3}_prosil_ OIM_add__{s3}_prosil_vas_pogovorit_s_burgomistrom_Kieva
qstr_OIM_add_Kiev_{s3}_pr OIM_add_Kiev_{s3}_prosil_zahvatit_
qstr_OIM_add__Net_zolota_ OIM_add__Net_zolota_-_net_informacii._Kazhis_etomu_skuperdyayu_smozhet_razvyazat_yazik_tolko_zoloto
qstr_OIM_add__Nu_chto_zhe OIM_add__Nu_chto_zhe_znya_eto_pora_razprosit_radzivila_dop._informaciyu...
qstr_OIM_add__{s3}_hochet OIM_add__{s3}_hochet_chto_bi_vi_vzyali_v_plen_tatarskogo_murzu...
qstr_OIM_add__pora_iskat_ OIM_add__pora_iskat_arhivi_tamplierov...
qstr_OIM_add_Kyazya_Olgov OIM_add_Kyazya_Olgovicha_pora_iskat...
qstr_OIM_add__nuzhno_vitr OIM_add__nuzhno_vitrusit_pravdu_iz_sina_kyaza...
qstr_OIM_add_getman__Pora OIM_add_getman__Pora_pohozhe_iskat_voronovu_knigu
qstr_OiM_getman_Knigu_moz OiM_getman_Knigu_mozhet_perevesti_kakoy-to_pafnutiy
qstr_OiM_getman_Nuzhno_pe OiM_getman_Nuzhno_perevesti_Pafnutiya_v_{s3}
qstr_OiM_getman_Kniga_na_ OiM_getman_Kniga_na_perevode_u_pufnatiya
qstr_OIM_add_getman__Koza OIM_add_getman__Kozak_legend_-_find_mamay
qstr_OIM_add_getman__Bara OIM_add_getman__Barabash_zhiv_i_on_dolzhen_znat_taynu_getmana
qstr_OIM_add_getman__Nu_c OIM_add_getman__Nu_chto_zhe_mozhno_budet_poprobovat_ubit_radzivilla...
qstr_{s1}_s_tomb {s1}'s_tomb
qstr_OIM_add_getman__Chto OIM_add_getman__Chto_bi_poluchit_pernach_nuzhno_privlech_na_50%_
qstr_OIM_add_getman__tepe OIM_add_getman__teper_kogda_ya_primknul_k_hmelyu_chto_bi_poluchit_istinuyu_silu_getmana_nuzhno_stat_mashalom
qstr_OIM_add_getman__{s5}_ OIM_add_getman__{s5}_skazal_chto_nuzniy_karavan_vishel_iz_{s3}_i_idet_v_{s4}._Mozhet_i_hmel_prav..._
qstr_OIM_add_getman_Bilo_ OIM_add_getman_Bilo_resheno_deystvovat_na_prolom._Vi_otpravili_gonca_s_tekstom_o_nachale_voini_v_MTzrd
qstr_Velikoye_Knyazestvo_ Velikoye_Knyazestvo_Rus
qstr_OIM_add_getman_Koron OIM_add_getman_Korona_vitovta_-_to_chto_reshit_problemi
qstr_Mamay Mamay
qstr_Nu_chto_zhe_budem_tr Nu_chto_zhe_budem_trusit_monastir_v_{s3}_skritno
qstr_OIM_add_getman_od_mo OIM_add_getman_od_morya_do_more_qst_text
qstr_OIM_add_getman__Nu_ch OIM_add_getman__Nu_chto_zhe_kto_ne_bil_
qstr_OiM_dmitriy_Teper_kog OiM_dmitriy_Teper_kogda_{s4}_oskorblen_moim_otkazom_pomoch_emu_-_shansov_uznat_pravdu_o_lzhedmitriye_u_menya_bolshe_net
qstr_OIM_add_getman__Nuzhn OIM_add_getman__Nuzhno_nayti_gerasima_Evangelika
qstr_OiM_The_elder_{s9}_s OiM_The_elder_{s9}_said_that_the_monk_is_in_the_{s10}._Try_to_talk_to_{s11}
qstr_OiM_getman_Yavangeli OiM_getman_Yavangelik_v_{s4}
qstr_OIM_add_getman__Nuzhno OIM_add_getman__Nuzhno_pogovorit_s_voevodoy...
qstr_OiM_The_{s9}_prosil_ OiM_The_{s9}_prosil_vas_otvezti_Eleonoru_v_{s10}_k_{s11}
qstr_OiM_The_{s9}_prosilf OiM_The_{s9}_prosilf_vas_otvezti_ee_k_{s11}
qstr_OiM_The_{s9}_prosilf_ OiM_The_{s9}_prosilf_vas_dostavit_pismo_k_{s11}
qstr_OiM_The_{s9}_prosil_v OiM_The_{s9}_prosil_vas_dostavit_pismo_k_{s11}
qstr_OiM_The_{s11}_dobriy OiM_The_{s11}_dobriy_tsar..._otpravil_v_turmu_na_doprosi..._Viberus_-_poluchit_on_svoye...
qstr_OiM_The_Nu_chto_zhe_ OiM_The_Nu_chto_zhe_teper_bez_podderzhki_moguschestvennogo_pokrovitelya_delat_mne_nechego..._Pora_idti_k_{s11}
qstr_OiM_Alevtina_v_Kafe_ OiM_Alevtina_v_Kafe_v_plenu...
qstr_OiM_pohozhe_alevtinu OiM_pohozhe_alevtinu_nuzhnu_budet_zabirat_iz_garema_siloy...
qstr_OiM_getman_Pohozhe_b OiM_getman_Pohozhe_bunt_razina_budet_seryoznim...
qstr_OiM_Teper_kogda_ya_p OiM_Teper_kogda_ya_pretendent_na_prestol_nuzhno
qstr_{s5}. {s5}.
qstr_{s3} {s3}
qstr_{s2}_{s3} {s2},_{s3}
qstr_I_can_smell_a_fat_pu I_can_smell_a_fat_purse_a_mile_away._Methinks_yours_could_do_with_some_lightening,_eh?
qstr_Why_it_be_another_tr Why,_it_be_another_traveller,_chance_met_upon_the_road!_I_should_warn_you,_country_here's_a_mite_dangerous_for_a_good_{fellow/woman}_like_you._But_for_a_small_donation_my_boys_and_I'll_make_sure_you_get_rightways_to_your_destination,_eh?
qstr_Well_well_look_at_th Well_well,_look_at_this!_You'd_best_start_coughing_up_some_silver,_friend,_or_me_and_my_boys'll_have_to_break_you.
qstr_There_s_a_toll_for_p There's_a_toll_for_passin'_through_this_land,_payable_to_us,_so_if_you_don't_mind_we'll_just_be_collectin'_our_due_from_your_purse...
qstr_Another_fool_come_to Another_fool_come_to_throw_{him/her}self_on_my_weapon,_eh?_Fine,_let's_fight!
qstr_We_re_not_afraid_of_ We're_not_afraid_of_you,_{sirrah/wench}._Time_to_bust_some_heads!
qstr_That_was_a_mistake._ That_was_a_mistake._Now_I'm_going_to_have_to_make_your_death_long_and_painful.
qstr_Brave_words._Let_s_s Brave_words._Let's_see_you_back_them_up_with_deeds,_cur!
qstr_A_{s5}?_Well..._Yes_ A_{s5}?_Well..._Yes,_I_suppose_it_is._What_a_strange_thing_to_ask.
qstr_Eh?_No_it_most_certa Eh?_No,_it_most_certainly_is_not_a_{s5}._I'd_start_questioning_my_eyesight_if_I_were_you.
qstr_This_is_the_{reg4?to This_is_the_{reg4?town:village}_of_{s5},_{sir/madam}.
qstr_{s6}_Our_{reg4?town: {s6}_Our_{reg4?town:village}_and_the_surrounding_lands_belong_to_you_of_course,_my_{lord/lady}.
qstr_{s6}_Our_{reg4?town:v {s6}_Our_{reg4?town:village}_and_the_surrounding_lands_belong_to_{s7}_of_{s8}.
qstr_{s3}_and_{s5} {s3}_and_{s5}
qstr_{s3}_{s5} {s3},_{s5}
qstr_{reg20?We_mostly_pro {reg20?We_mostly_produce_{s5}_here:We_don't_produce_much_here_these_days}._If_you_would_like_to_learn_more,_you_can_speak_with_our_{reg4?guildmaster:village_elder}._He_is_nearby,_right_over_there.
qstr__U_Vas_maximalnovozm _U_Vas_maximalnovozmozhnoe_kolichestvo_naemnikov_
qstr__U_Vas_ne_hvataet_de _U_Vas_ne_hvataet_deneg_
qstr___Skolko_naemnikov_n __Skolko_naemnikov_nuzhno?
qstr__U_vas_netu_etogo_ti _U_vas_netu_etogo_tipa_naemnikov
qstr__Viberite_razdel _Viberite_razdel
